ticker,gics_sector,ggr_sector
WMB,Energy,Industrials
WTW,Financials,Financials
WDAY,Information Technology,Industrials
WYNN,Consumer Discretionary,Industrials
XEL,Utilities,Utilities
XYL,Industrials,Industrials
YUM,Consumer Discretionary,Industrials
ZBRA,Information Technology,Industrials
ZBH,Health Care,Industrials
ZTS,Health Care,Industrials
